//AUTOGEN_STATEMAP20<date>2011-08-18T10:21:14.7864205Z</date><sha1>E6BF1EC85D9AF00DD8DA8F33E6DD0191265E9F04</sha1>
account;1;0;Active
account;2;1;Inactive
appointment;1;0;Open
appointment;2;0;Open
appointment;3;1;Completed
appointment;4;2;Canceled
appointment;5;3;Scheduled
appointment;6;3;Scheduled
contact;1;0;Active
contact;2;1;Inactive
discounttype;100001;0;Active
discounttype;100002;1;Inactive
email;1;0;Open
email;2;1;Completed
email;3;1;Completed
email;4;1;Completed
email;5;2;Canceled
email;6;1;Completed
email;7;1;Completed
email;8;0;Open
incident;5;1;Resolved
incident;6;2;Canceled
incident;1;0;Active
incident;2;0;Active
incident;3;0;Active
incident;4;0;Active
invoice;1;0;Active
invoice;2;0;Active
invoice;4;0;Active
invoice;5;0;Active
invoice;6;0;Active
invoice;3;1;Closed
invoice;7;1;Closed
invoice;100001;2;Paid
invoice;100002;2;Paid
invoice;100003;3;Canceled
lead;1;0;Open
lead;2;0;Open
lead;3;1;Qualified
lead;4;2;Disqualified
lead;5;2;Disqualified
lead;6;2;Disqualified
lead;7;2;Disqualified
opportunity;1;0;Open
opportunity;2;0;Open
opportunity;3;1;Won
opportunity;4;2;Lost
opportunity;5;2;Lost
phonecall;1;0;Open
phonecall;2;1;Completed
phonecall;3;2;Canceled
phonecall;4;1;Completed
pricelevel;100001;0;Active
pricelevel;100002;1;Inactive
product;1;0;Active
product;2;1;Inactive
quote;2;1;Active
quote;3;1;Active
quote;4;2;Won
quote;5;3;Closed
quote;6;3;Closed
quote;7;3;Closed
quote;1;0;Draft
salesorder;3;1;Submitted
salesorder;4;2;Canceled
salesorder;1;0;Active
salesorder;2;0;Active
salesorder;100001;3;Fulfilled
salesorder;100002;3;Fulfilled
salesorder;100003;4;Invoiced
serviceappointment;1;0;Open
serviceappointment;2;0;Open
serviceappointment;3;3;Scheduled
serviceappointment;4;3;Scheduled
serviceappointment;6;3;Scheduled
serviceappointment;7;3;Scheduled
serviceappointment;8;1;Closed
serviceappointment;9;2;Canceled
serviceappointment;10;2;Canceled
task;2;0;Open
task;3;0;Open
task;4;0;Open
task;5;1;Completed
task;6;2;Canceled
task;7;0;Open
transactioncurrency;1;0;Active
transactioncurrency;2;1;Inactive
